id,name,location,latitude,longitude,notes
home_axe_yard,Home Axe Yard,"Axe Yard, Westminster",51.502912,-0.127259,South of Downing St
exeter_house_chapel,Exeter House Chapel,Covent Garden,51.511377,-0.120124,Peter Gunning
john_pepys_house,Father House,Salisbury Court,51.5135,-0.1063,"John Pepys, Tailor, lived south of Fleet Street, St Brides Parish until 1661"
turner_house,Turner House,Salisbury Court,51.5135,-0.1063,"John, Jane and Theophila Turner. Madame Morris?"
sandwich_lodgings,Earl of Sandwich Lodgings,Whitehall Palace,,,"Managed by Edward Shipley (1659-62), Jemimah Montagu (Carteret after 1665)"
lestrange_calthorpe_chamber,Lestrange Calthorpe Chamber,"Chancery Lane, Temple District",51.512622,-0.11026,"Walled district between Fleet St and the Thames, Sir Lestrange Calthorpe"
john_crews_house,Mr Crews House,Lincoln's Inn Fields?,,,John Crew
office_exchequer,Office Exchequer,Westminster Palace,51.500305,-0.124485,"Palace of Westminster, east side of New Palace Yard"
westminster_hall,Westminster Hall,Westminster Palace,51.500047,-0.125216,Palace of Westminster
the_new_market,The New Market,,,,
fleet_street,Fleet Street,,,,
wills_alehouse,Wills Ale House,Westminster Palace,,,Old Palace Yard
whitehall_palace,Whitehall Palace,Whitehall Palace,51.504444,-0.125556,
swan_inn,Swan Inn,Westminster Palace,,,New Palace Yard
george_vines_house,George Vines House,,,,"George Vines, Deputy Chamberlain of the Receipt of the Exchequer"
john_hunt_house,John Hunt House,"Axe Yard, Westminster",,,John and Elizabeth Hunt
valentine_fage_house,Valentine Fage House,,,,"Mr. Valentine Fage, apothecary"
harpers_tavern,Harpers Tavern,King Street,51.503582,-0.125849,"Tavern run by Harper family, Mrs. Mary Harper, located outside of King Street gate of Whitehall Palace opposite of Axe Yard"
thomas_pepys_house,Thomas Pepys House,,,,"Cousin, in 1661 was living in St-Martin-in-the-Fields"
stradwick_house,Stradwick House,,,,"Thomas and Elizabeth Stradwick, Elizabeth daughter of Richard Pepys"
dr_hoares_house,Dr Hoares House,,,,Dr. William Hoare
robert_mossum_church,Robert Mossum Church,,,,"Robert Mossum, Conducted sermons at Cary House in the Strand and St Peter, Pauls Wharf in the 1660s"
turks_head_coffee_house,Turk's Head Coffee House,"New Palace Yard, Westminster",,,Home of the Rota Club
alehouse_unknown_1,Alehouse Unknown,London,,,Mentioned in 10 Jan 1659/60
cookshop_unknown_1,Cookshop Unknown,London,,,"Unknown location and name, 10 jan 1659/60"
city_of_london,Referencing the Royal Exchange?,,,,
star_tavern,Star Tavern,Cheapside,,,"South side of Cheapside, near Royal Exchange, Francis Ringstead"
mother_lams_pub,Mother Lams Pub,,,,
the_half_moon_alehouse,The Half Moon Alehouse,,51.509693,-0.123912,
thomas_wade_house,Thomas Wade House,"Axe Yard, Westminster",,,Thomas Wade
george_downings_lodgings,George Downings Lodgings,,,,
coffee_house_unknown_1,Coffeehouse Unknown,London,,,
alehouse_unknown_2,Alehouse Unknown,London,,,
tower_menagerie,Tower of London Menagerie,Tower of London,,,
william_joyce_house,William Joyce House,,,,
mr_stevens_house,Mr Stevens House,,,,
kate_petit_house,Kate Petit House,,,,
market_unknown_1,Market Unknown,London,,,
alehouse_unknown_3,Alehouse Unknown,London,,,
salisbury_court,Salisbury Court,Blackfriars,51.513824,-0.106214,Between Fleet Street and Dorset Stairs on the Thames
parish_clerks_hall,Parish Clerks Hall,,,,
green_dragon_pub,Green Dragon Pub,Lambeth Hill,,,"Lambeth Hill, Upper Thames Street"
golden_lion_pub,Golden Lion Pub,Charing Cross,,,
twickenham,Twickenham,Twickenham,,,
william_fuller_lodging,William Fuller Lodging,,,,
brentford,Brentford,Brentford,,,
wilkinsons_cookshop,Wilkinson's Cookshop,"King Street, Westminster",,,"Between Sea Alley and Axe Yard, kept by William Wilkinson"
harp_and_ball_tavern,Harp And Ball Tavern,Charing Cross,,,
french_ordinary,French Ordinary,,,,
james_marsh_lodgings,James Marsh Lodgings,Whitehall Palace,,,
the_swan_pub,The Swan Pub,Old Fish Street,,,South of St Paul's Cathedral
coffee_house_unknown_2,Coffee House Unknown 2,London,,,
mr_sheply_lodgings,Mr Sheply Lodgings,,,,
mr_vernon_lodging,Mr Vernon Lodging,London,,,Possibly John Vernon Quarter-master general
mitre_tavern,Mitre Tavern,Fleet Street,51.513934,-0.109665,Hugh Steadman
clerks_room_whitehall,Clerks Room Whitehall,Whitehall Palace,,,
st_brides_church,St Brides Church,Fleet Street,51.513724,-0.105616,John Herring vicar of St Brides
axe_brewhouse,Axe Brewhouse,"Axe Yard, Westminster",51.502876,-0.127794,"Axe Yard off King Street, now Fludyer Street"
stone_gallery_whitehall,Stone Gallery Whitehall,Whitehall Palace,51.503868,-0.124712,"Ground floor of Whitehall, parallel to the Thames, below the Matted Gallery"
cockpit_whitehall,Cockpit-in-Court Whitehall,Whitehall Palace,51.503907,-0.127297,
james_pearse_house,James Pearse House,,,,
